Cultivars;Trait;N;Al;B;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;Niveau de sensibilité;ID
PIC;non;3,11;35;31;9476;8;64;56770;3115;186;4372;8112;2430;65;Moyen;PIC_non_Moyen
PIC;non;2,29;136;32;9084;11;132;52824;2735;213;3082;7207;2038;68;Moyen;PIC_non_Moyen
PIC;non;2,88;30;37;9483;8;60;54958;2898;203;3331;7911;2322;66;Moyen;PIC_non_Moyen
PIC;non;2,05;51;42;8485;12;61;50891;2375;203;2537;6603;2075;65;Moyen;PIC_non_Moyen
GOR;non;2,63;19;39;6763;10;65;58893;2644;170;2993;7365;2173;73;Faible;GOR_non_Faible
GOR;non;3,01;70;38;7169;10;81;58525;2882;188;3954;8144;2346;80;Faible;GOR_non_Faible
GOR;non;2,64;20;39;7172;10;65;61025;2622;181;3326;8039;2520;77;Faible;GOR_non_Faible
GOR;non;3,01;19;39;7176;10;62;59956;2782;185;2421;8203;2383;75;Faible;GOR_non_Faible
TUR;non;2,32;55;33;5989;9;69;48793;2471;140;3872;6113;1854;55;Moyen;TUR_non_Moyen
TUR;non;2,91;99;36;5971;9;108;48562;3136;139;5011;6743;2151;62;Moyen;TUR_non_Moyen
TUR;non;2,61;13;50;6062;11;51;54881;2583;152;4758;6676;2107;64;Moyen;TUR_non_Moyen
TUR;non;2,78;35;39;6318;9;63;52613;2762;152;4376;6709;2151;64;Moyen;TUR_non_Moyen
CHI;non;3,4;24;41;7790;8;59;59776;3264;186;3569;7944;2699;65;Faible;CHI_non_Faible
CHI;non;3,4;87;37;7747;9;91;67739;3224;172;3744;8592;2964;65;Faible;CHI_non_Faible
CHI;non;3,14;85;43;8112;8;94;62307;3293;212;4001;7671;2625;71;Faible;CHI_non_Faible
CHI;non;2,81;73;59;7426;8;71;58240;2779;203;3209;6718;2272;69;Faible;CHI_non_Faible
ROM;non;2,64;137;44;8931;11;93;60779;3192;176;4247;7777;2309;78;Élevé;ROM_non_Élevé
ROM;non;3,33;33;51;8920;10;64;71228;3304;152;4628;9311;2760;83;Élevé;ROM_non_Élevé
ROM;non;2,96;55;49;8843;9;61;67193;3225;157;4837;8806;2483;77;Élevé;ROM_non_Élevé
ROM;non;2,92;78;39;9554;9;84;66470;3348;177;4540;8644;2438;89;Élevé;ROM_non_Élevé
VIV;non;3,58;23;44;10531;11;77;64448;3520;168;4836;8124;2963;80;Faible;VIV_non_Faible
VIV;non;3,75;18;41;9427;9;72;62286;2940;160;3953;7970;2995;77;Faible;VIV_non_Faible
VIV;non;3,95;35;43;9119;9;75;62827;3040;136;4104;7850;3032;73;Faible;VIV_non_Faible
VIV;non;2,91;41;45;8344;9;80;55303;2795;151;3998;6829;2506;67;Faible;VIV_non_Faible
HOC;non;4,18;104;46;9008;15;97;72386;3595;130;3641;8519;2829;85;Moyen;HOC_non_Moyen
HOC;non;3,77;55;45;8693;14;97;74498;3118;155;3410;10134;3430;89;Moyen;HOC_non_Moyen
HOC;non;4,04;12;42;7801;12;68;62655;2992;126;2797;7435;2482;74;Moyen;HOC_non_Moyen
HOC;non;3,6;94;50;8387;12;95;67339;3129;132;3995;8187;2743;77;Moyen;HOC_non_Moyen
EST;non;3,3;33;35;11495;12;94;59245;3407;169;4698;8191;2719;81;Moyen;EST_non_Moyen
EST;non;2,99;22;54;11375;10;81;60932;3113;199;4491;7906;2472;73;Moyen;EST_non_Moyen
EST;non;2,85;261;41;10510;10;167;56877;3329;176;4534;7612;2431;70;Moyen;EST_non_Moyen
EST;non;3,49;133;42;11679;10;119;62391;3613;171;4221;7956;2494;77;Moyen;EST_non_Moyen
BRG;non;3,8;22;41;9239;14;80;68866;2746;157;3885;9073;3282;92;Élevé;BRG_non_Élevé
BRG;non;3,29;308;48;10195;17;196;70506;3214;193;3781;8404;3099;94;Élevé;BRG_non_Élevé
BRG;non;4,15;247;57;10093;16;263;73668;3792;161;4915;8966;3092;94;Élevé;BRG_non_Élevé
BRG;non;3,98;302;46;10025;15;187;71919;3654;175;5346;9090;3130;95;Élevé;BRG_non_Élevé
LIG;non;3,83;59;31;10359;11;90;69311;3599;199;3596;9346;2910;77;Élevé;LIG_non_Élevé
LIG;non;4,38;47;31;9523;12;79;72535;3354;149;3554;9683;2885;81;Élevé;LIG_non_Élevé
LIG;non;3,82;129;26;9017;11;156;62170;3282;165;3548;8613;2624;69;Élevé;LIG_non_Élevé
LIG;non;3,42;128;39;8209;8;96;56677;2827;169;2912;7526;2277;64;Élevé;LIG_non_Élevé
PIC;inoc;3,49;9;26;8499;15;38;52729;2603;155;2940;6150;1955;62;Moyen;PIC_inoc_Moyen
PIC;inoc;3,47;10;42;8084;12;41;56495;2567;165;3369;6488;1987;57;Moyen;PIC_inoc_Moyen
PIC;inoc;3,38;51;29;8785;14;65;56401;3174;165;4014;7137;2196;64;Moyen;PIC_inoc_Moyen
PIC;inoc;3,82;9;30;10255;14;52;68725;3412;173;4130;7521;2489;70;Moyen;PIC_inoc_Moyen
GOR;inoc;3,41;13;41;6955;10;54;60032;2841;164;3702;7061;2187;65;Faible;GOR_inoc_Faible
GOR;inoc;3,48;20;32;7576;13;60;63229;3085;174;3300;7473;2458;73;Faible;GOR_inoc_Faible
GOR;inoc;3,67;7;30;7061;11;56;65481;3071;154;3768;7806;2476;74;Faible;GOR_inoc_Faible
GOR;inoc;3,87;14;33;7496;11;62;67954;3344;156;4063;8092;2670;78;Faible;GOR_inoc_Faible
TUR;inoc;3,07;10;33;6554;11;45;60479;2910;151;4647;6564;2174;65;Moyen;TUR_inoc_Moyen
TUR;inoc;3,49;12;29;7294;14;53;62353;3121;181;4012;7000;2282;76;Moyen;TUR_inoc_Moyen
TUR;inoc;3,09;9;26;6575;12;43;53336;2888;158;3859;6152;2059;61;Moyen;TUR_inoc_Moyen
TUR;inoc;3,44;43;34;7189;13;69;66772;3086;169;4162;6860;2423;68;Moyen;TUR_inoc_Moyen
