Cultivars;Niv. de sens.;Trait;Al;Ca;Cu;Fe;K;Mg;Mn;Na;P;S;Zn;Experience
PIC;Faible;non;35;9476;8;64;56770;3115;186;4372;8112;2430;65;1
PIC;Faible;non;136;9084;11;132;52824;2735;213;3082;7207;2038;68;1
PIC;Faible;non;30;9483;8;60;54958;2898;203;3331;7911;2322;66;1
PIC;Faible;non;51;8485;12;61;50891;2375;203;2537;6603;2075;65;1
GOR;Faible;non;19;6763;10;65;58893;2644;170;2993;7365;2173;73;1
GOR;Faible;non;70;7169;10;81;58525;2882;188;3954;8144;2346;80;1
GOR;Faible;non;20;7172;10;65;61025;2622;181;3326;8039;2520;77;1
GOR;Faible;non;19;7176;10;62;59956;2782;185;2421;8203;2383;75;1
CHI;Faible;non;24;7790;8;59;59776;3264;186;3569;7944;2699;65;1
CHI;Faible;non;87;7747;9;91;67739;3224;172;3744;8592;2964;65;1
CHI;Faible;non;85;8112;8;94;62307;3293;212;4001;7671;2625;71;1
CHI;Faible;non;73;7426;8;71;58240;2779;203;3209;6718;2272;69;1
VIV;Faible;non;18;9427;9;72;62286;2940;160;3953;7970;2995;77;1
VIV;Faible;non;35;9119;9;75;62827;3040;136;4104;7850;3032;73;1
VIV;Faible;non;41;8344;9;80;55303;2795;151;3998;6829;2506;67;1
VIV;Faible;non;55;5989;9;69;48793;2471;140;3872;6113;1854;55;1
TUR;Moyen;non;23;10531;11;77;64448;3520;168;4836;8124;2963;80;1
TUR;Moyen;non;99;5971;9;108;48562;3136;139;5011;6743;2151;62;1
TUR;Moyen;non;13;6062;11;51;54881;2583;152;4758;6676;2107;64;1
TUR;Moyen;non;35;6318;9;63;52613;2762;152;4376;6709;2151;64;1
ROM;Moyen;non;137;8931;11;93;60779;3192;176;4247;7777;2309;78;1
ROM;Moyen;non;33;8920;10;64;71228;3304;152;4628;9311;2760;83;1
ROM;Moyen;non;55;8843;9;61;67193;3225;157;4837;8806;2483;77;1
ROM;Moyen;non;78;9554;9;84;66470;3348;177;4540;8644;2438;89;1
HOC;Élevé;non;104;9008;15;97;72386;3595;130;3641;8519;2829;85;1
HOC;Élevé;non;55;8693;14;97;74498;3118;155;3410;10134;3430;89;1
HOC;Élevé;non;12;7801;12;68;62655;2992;126;2797;7435;2482;74;1
HOC;Élevé;non;94;8387;12;95;67339;3129;132;3995;8187;2743;77;1
EST;Élevé;non;33;11495;12;94;59245;3407;169;4698;8191;2719;81;1
EST;Élevé;non;22;11375;10;81;60932;3113;199;4491;7906;2472;73;1
EST;Élevé;non;261;10510;10;167;56877;3329;176;4534;7612;2431;70;1
EST;Élevé;non;133;11679;10;119;62391;3613;171;4221;7956;2494;77;1
BRG;Élevé;non;22;9239;14;80;68866;2746;157;3885;9073;3282;92;1
BRG;Élevé;non;308;10195;17;196;70506;3214;193;3781;8404;3099;94;1
BRG;Élevé;non;247;10093;16;263;73668;3792;161;4915;8966;3092;94;1
BRG;Élevé;non;302;10025;15;187;71919;3654;175;5346;9090;3130;95;1
LIG;Élevé;non;59;10359;11;90;69311;3599;199;3596;9346;2910;77;1
LIG;Élevé;non;47;9523;12;79;72535;3354;149;3554;9683;2885;81;1
LIG;Élevé;non;129;9017;11;156;62170;3282;165;3548;8613;2624;69;1
LIG;Élevé;non;128;8209;8;96;56677;2827;169;2912;7526;2277;64;1
PIC;Faible;inoc;9;8499;15;38;52729;2603;155;2940;6150;1955;62;1
PIC;Faible;inoc;10;8084;12;41;56495;2567;165;3369;6488;1987;57;1
PIC;Faible;inoc;51;8785;14;65;56401;3174;165;4014;7137;2196;64;1
PIC;Faible;inoc;9;10255;14;52;68725;3412;173;4130;7521;2489;70;1
GOR;Faible;inoc;13;6955;10;54;60032;2841;164;3702;7061;2187;65;1
GOR;Faible;inoc;20;7576;13;60;63229;3085;174;3300;7473;2458;73;1
GOR;Faible;inoc;7;7061;11;56;65481;3071;154;3768;7806;2476;74;1
GOR;Faible;inoc;14;7496;11;62;67954;3344;156;4063;8092;2670;78;1
CHI;Faible;inoc;10;7886;15;56;63039;2935;196;3202;6867;2506;77;1
CHI;Faible;inoc;35;8302;14;56;65009;3176;217;3783;7226;2479;79;1
CHI;Faible;inoc;9;8120;15;52;68178;3145;202;3588;7230;2629;80;1
CHI;Faible;inoc;26;7106;14;64;58704;2991;163;3723;6457;2312;63;1
VIV;Faible;inoc;9;10041;16;67;67210;3185;185;5380;7152;2654;79;1
VIV;Faible;inoc;9;9007;12;60;59933;2936;147;4051;6980;2564;75;1
VIV;Faible;inoc;9;9863;14;64;70436;3209;154;5003;7247;2884;81;1
VIV;Faible;inoc;9;10336;19;70;76190;3314;166;4670;7985;3064;90;1
TUR;Moyen;inoc;12;7294;14;53;62353;3121;181;4012;7000;2282;76;1
TUR;Moyen;inoc;9;6575;12;43;53336;2888;158;3859;6152;2059;61;1
TUR;Moyen;inoc;43;7189;13;69;66772;3086;169;4162;6860;2423;68;1
TUR;Moyen;inoc;10;6554;11;45;60479;2910;151;4647;6564;2174;65;1
ROM;Moyen;inoc;17;9902;13;57;73987;3710;168;4901;8856;2649;92;1
ROM;Moyen;inoc;43;9915;15;64;75371;3851;145;4929;8701;2600;98;1
ROM;Moyen;inoc;13;10117;18;48;68589;3487;179;5211;8233;2419;90;1
ROM;Moyen;inoc;56;9756;15;69;73367;3801;161;4963;8567;2687;90;1
HOC;Élevé;inoc;21;7866;17;84;64886;2998;143;3827;7100;2326;82;1
HOC;Élevé;inoc;10;8710;15;72;65038;3205;173;4159;7502;2379;85;1
HOC;Élevé;inoc;10;8100;18;62;63991;2915;151;4012;6537;2207;79;1
HOC;Élevé;inoc;13;7876;16;66;60009;2799;131;3790;6497;2285;73;1
EST;Élevé;inoc;9;11823;17;82;66183;3678;167;5560;8143;2607;91;1
EST;Élevé;inoc;11;11378;18;71;56345;3373;166;4899;6653;2311;82;1
EST;Élevé;inoc;16;13268;14;81;70838;3871;175;4797;8767;2872;85;1
EST;Élevé;inoc;8;12056;16;68;62643;3478;164;5089;7266;2361;77;1
BRG;Élevé;inoc;30;11205;19;78;82160;3405;185;5978;8803;3131;98;1
BRG;Élevé;inoc;19;10960;19;88;80685;3535;157;5951;8834;3323;103;1
BRG;Élevé;inoc;60;10173;19;83;74474;3286;161;6143;8142;3103;95;1
BRG;Élevé;inoc;53;10208;19;83;76317;3309;162;5616;8310;3121;93;1
